name,value,year,date,lastValue,rank
city,1,1,07/11/2018,NA,7
chris,0,1,07/11/2018,NA,10
shame,3,1,07/11/2018,NA,3
forest,3,1,07/11/2018,NA,3
spurs,3,1,07/11/2018,NA,3
united,5,1,07/11/2018,NA,1
liverpool,0,1,07/11/2018,NA,10
chelsea,0,1,07/11/2018,NA,10
jake,0,1,07/11/2018,NA,10
arsenal,1,1,07/11/2018,NA,7
pulis,2,1,07/11/2018,NA,6
dave,0,1,07/11/2018,NA,10
boro,0,1,07/11/2018,NA,10
derby,4,1,07/11/2018,NA,2
england,1,1,07/11/2018,NA,7
leeds,0,1,07/11/2018,NA,10
leicester,0,1,07/11/2018,NA,10
bald,0,1,07/11/2018,NA,10
ricardo,0,1,07/11/2018,NA,10
brave,0,1,07/11/2018,NA,10
city,2,2,08/11/2018,1,6
chris,0,2,08/11/2018,0,12
shame,4,2,08/11/2018,3,2
forest,3,2,08/11/2018,3,4
spurs,3,2,08/11/2018,3,4
united,5,2,08/11/2018,5,1
liverpool,0,2,08/11/2018,0,12
chelsea,1,2,08/11/2018,0,8
jake,0,2,08/11/2018,0,12
arsenal,1,2,08/11/2018,1,8
pulis,2,2,08/11/2018,2,6
dave,0,2,08/11/2018,0,12
boro,0,2,08/11/2018,0,12
derby,4,2,08/11/2018,4,2
england,1,2,08/11/2018,1,8
leeds,0,2,08/11/2018,0,12
leicester,0,2,08/11/2018,0,12
bald,1,2,08/11/2018,0,8
ricardo,0,2,08/11/2018,0,12
brave,0,2,08/11/2018,0,12
city,2,3,09/11/2018,2,6
chris,0,3,09/11/2018,0,12
shame,4,3,09/11/2018,4,2
forest,3,3,09/11/2018,3,4
spurs,3,3,09/11/2018,3,4
united,5,3,09/11/2018,5,1
liverpool,0,3,09/11/2018,0,12
chelsea,1,3,09/11/2018,1,8
jake,0,3,09/11/2018,0,12
arsenal,1,3,09/11/2018,1,8
pulis,2,3,09/11/2018,2,6
dave,0,3,09/11/2018,0,12
boro,0,3,09/11/2018,0,12
derby,4,3,09/11/2018,4,2
england,1,3,09/11/2018,1,8
leeds,0,3,09/11/2018,0,12
leicester,0,3,09/11/2018,0,12
bald,1,3,09/11/2018,1,8
ricardo,0,3,09/11/2018,0,12
brave,0,3,09/11/2018,0,12
city,2,4,10/11/2018,2,6
chris,0,4,10/11/2018,0,13
shame,4,4,10/11/2018,4,2
forest,3,4,10/11/2018,3,4
spurs,3,4,10/11/2018,3,4
united,5,4,10/11/2018,5,1
liverpool,0,4,10/11/2018,0,13
chelsea,1,4,10/11/2018,1,8
jake,0,4,10/11/2018,0,13
arsenal,1,4,10/11/2018,1,8
pulis,2,4,10/11/2018,2,6
dave,0,4,10/11/2018,0,13
boro,0,4,10/11/2018,0,13
derby,4,4,10/11/2018,4,2
england,1,4,10/11/2018,1,8
leeds,0,4,10/11/2018,0,13
leicester,0,4,10/11/2018,0,13
bald,1,4,10/11/2018,1,8
ricardo,1,4,10/11/2018,0,8
brave,0,4,10/11/2018,0,13
city,3,5,11/11/2018,2,4
chris,0,5,11/11/2018,0,13
shame,4,5,11/11/2018,4,2
forest,3,5,11/11/2018,3,4
spurs,3,5,11/11/2018,3,4
united,6,5,11/11/2018,5,1
liverpool,0,5,11/11/2018,0,13
chelsea,1,5,11/11/2018,1,8
jake,0,5,11/11/2018,0,13
arsenal,1,5,11/11/2018,1,8
pulis,2,5,11/11/2018,2,7
dave,0,5,11/11/2018,0,13
boro,0,5,11/11/2018,0,13
derby,4,5,11/11/2018,4,2
england,1,5,11/11/2018,1,8
leeds,0,5,11/11/2018,0,13
leicester,0,5,11/11/2018,0,13
bald,1,5,11/11/2018,1,8
ricardo,1,5,11/11/2018,1,8
brave,0,5,11/11/2018,0,13
